State,Inbound_Movers,Outbound_Movers,Net_Migration
Alabama,119421.0,99663.0,19758.0
Alaska,30676.0,35800.0,-5124.0
Arizona,256203.0,193670.0,62533.0
Arkansas,73123.0,63179.0,9944.0
California,422075.0,690127.0,-268052.0
Colorado,232663.0,211370.0,21293.0
Connecticut,94990.0,91384.0,3606.0
Delaware,39006.0,29121.0,9885.0
District of Columbia,56860.0,64336.0,-7476.0
Florida,636933.0,510925.0,126008.0
Georgia,310452.0,250484.0,59968.0
Hawaii,58539.0,58078.0,461.0
Idaho,81708.0,64970.0,16738.0
Illinois,203758.0,297005.0,-93247.0
Indiana,150649.0,120876.0,29773.0
Iowa,73176.0,75032.0,-1856.0
Kansas,77138.0,92713.0,-15575.0
Kentucky,106797.0,92582.0,14215.0
Louisiana,69464.0,101180.0,-31716.0
Maine,38089.0,27227.0,10862.0
Maryland,162674.0,198764.0,-36090.0
Massachusetts,145021.0,184534.0,-39513.0
Michigan,135115.0,155530.0,-20415.0
Minnesota,100277.0,108966.0,-8689.0
Mississippi,64610.0,61833.0,2777.0
Missouri,143688.0,135597.0,8091.0
Montana,36775.0,36822.0,-47.0
Nebraska,48590.0,48659.0,-69.0
Nevada,122219.0,104444.0,17775.0
New Hampshire,39695.0,46753.0,-7058.0
New Jersey,156335.0,225514.0,-69179.0
New Mexico,64673.0,64917.0,-244.0
New York,302835.0,481544.0,-178709.0
North Carolina,339255.0,232663.0,106592.0
North Dakota,34415.0,20814.0,13601.0
Ohio,185341.0,184281.0,1060.0
Oklahoma,107679.0,84309.0,23370.0
Oregon,125246.0,131403.0,-6157.0
Pennsylvania,237526.0,272461.0,-34935.0
Rhode Island,31599.0,31416.0,183.0
South Carolina,203674.0,135007.0,68667.0
South Dakota,30055.0,29464.0,591.0
Tennessee,203156.0,180407.0,22749.0
Texas,611942.0,478570.0,133372.0
Utah,90865.0,94351.0,-3486.0
Vermont,26743.0,19151.0,7592.0
Virginia,276161.0,253240.0,22921.0
Washington,212616.0,215277.0,-2661.0
West Virginia,42020.0,41042.0,978.0
Wisconsin,114938.0,100085.0,14853.0
Wyoming,22957.0,22875.0,82.0
